stock name,last traded price,haircut percentage,post haircut value
FIVESTAR,745.6,0.2,596480.0
UTKARSHBNK,24.2,0.2,19360.0
RVNL,360.8,0.2402,274135.84
BAJAJFINSV,1968.0,0.1018,1767657.6
NEULANDLAB,12660.0,0.2401,9620334.0
BEML,3085.4,0.2205,2405069.3000000003
GPPL,141.43,0.2,113144.0
SUNDARMFIN,4948.8,0.2,3959040.0000000005
EBBETF0425,1290.83,1.0,0.0
RBLBANK,181.29,0.2,145032.0
OLECTRA,1179.9,0.2,943920.0000000001
MINDACORP,508.3,0.2,406640.00000000006
RELIANCE,1240.1,0.09,1128491.0
ANURAS,752.05,0.2,601640.0
AHLUCONT,905.95,0.2,724760.0000000001
SIGNATURE,1130.7,0.2,904560.0000000001
DEEPAKFERT,1263.3,0.214,992953.8
HAPPSTMNDS,572.8,0.2,458240.0
SFL,650.05,0.2,520039.99999999994
WELSPUNLIV,129.74,0.2,103792.00000000001
SUVENPHAR,1184.8,0.2,947840.0
KOTAKBANK,2120.2,0.0947,1919417.0599999998
INFY,1426.0,0.1001,1283257.4
LIQUID,999.99,0.05,949990.5
HDFCLIQUID,1006.9,0.05,956555.0
SHAREINDIA,168.98,0.2,135184.0
LATENTVIEW,386.75,0.2,309400.00000000006
VARROC,421.35,0.2,337080.00000000006
KANSAINER,255.81,0.2,204648.00000000003
SBIN,763.5,0.1033,684630.45
DELTACORP,82.18,0.2,65744.00000000001
LINDEINDIA,6109.5,0.2,4887600.0
CAMLINFINE,168.85,0.2284,130284.66
PRESTIGE,1198.5,0.2,958800.0000000001
GRASIM,2718.6,0.0935,2464410.9
NHPC,85.42,0.2,68336.0
SHILPAMED,655.65,0.20170000000000002,523405.395
TECHM,1301.7,0.1072,1162157.76
SGBDEC2513,8857.0,0.1,7971300.0
REDINGTON,224.68,0.2,179744.00000000003
ALKEM,4920.8,0.2,3936640.0000000005
NTPC,362.5,0.1173,319978.75
JIOFIN,238.57,0.1393,205337.199
PIDILITIND,2991.6,0.2,2393280.0
HERITGFOOD,416.5,0.2,333200.00000000006
RENUKA,28.36,0.2,22688.000000000004
GANECOS,1613.6,0.2,1290880.0
LICI,784.3,0.2,627440.0
PPLPHARMA,222.52,0.2,178016.00000000003
JINDALSAW,257.45,0.2125,202741.875
JBCHEPHARM,1591.5,0.2,1273200.0
